Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	0.94	0.97	1.00	0.94	0.97	0.97
incong	0.88	0.88	0.88	0.94	0.88	0.91	0.89
Grand Total	0.94	0.91	0.92	0.97	0.91	0.94	0.93
							
							
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.88	0.94	0.88	1.00	0.94	0.94	0.88
444.4	436.2	427.3	390.6	361.7	406.2	335.1	331
							
							
							
rt	SDev	CCor	UCor				
444.4	175.5	16	16	0	0	0	
436.2	142.9	14	14	0	0	1	
427.3	187.2	15	15	0	1	0	
390.6	117.5	14	14	0	1	1	
361.7	82.02	16	16	1	0	0	
406.2	78.1	15	15	1	0	1	
335.1	44.72	13	15	1	1	0	
331	83.24	14	14	1	1	1	
