Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	0.88	0.94	1.00	1.00	1.00	0.97
Grand Total	1.00	0.94	0.97	1.00	1.00	1.00	0.98
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.88	1.00	1.00	1.00	1.00
540.90	577.40	504.10	586.10	581.30	561.60	618.40	692.90
							
							
rt	SDev	CCor	UCor				
540.9	151.6	16	16	0	0	0	
577.4	149.7	16	16	0	0	1	
504.1	102.2	15	16	0	1	0	
586.1	117.5	14	14	0	1	1	
581.3	136.3	15	16	1	0	0	
561.6	83.56	15	16	1	0	1	
618.4	107.6	15	16	1	1	0	
692.9	258.2	16	16	1	1	1	
