SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor	
rg92	Local	19	1	1	0	0	0	513	1	
rg92	Local	20	1	0	1	0	1	460	1	
rg92	Local	21	1	0	1	1	0	593	1	
rg92	Local	22	1	0	1	0	1	150	0	
rg92	Local	23	1	1	0	0	0	827	1	
rg92	Local	24	1	1	1	1	0	594	1	
rg92	Local	25	1	1	0	0	0	560	1	
rg92	Local	26	1	0	0	1	1	520	1	
rg92	Local	27	1	0	0	1	0	555	1	
rg92	Local	28	1	0	0	0	0	444	1	
rg92	Local	29	1	1	1	0	0	535	1	
rg92	Local	30	1	1	0	1	0	516	1	
rg92	Local	31	1	1	1	1	1	423	1	
rg92	Local	32	1	0	0	1	1	593	1	
