SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
le160	Local	14	0	0	0	1	1	675	1
le160	Local	15	0	1	1	0	0	150	0
le160	Local	16	0	0	0	1	0	456	1
le160	Local	17	0	1	0	1	1	477	1
le160	Local	18	0	0	1	0	1	444	1
le160	Local	19	0	0	0	0	1	383	1
le160	Local	20	0	0	0	1	1	420	1
le160	Local	21	0	1	0	1	0	516	1
le160	Local	22	0	0	1	0	0	431	1
le160	Local	23	0	0	1	1	1	561	1
le160	Local	24	0	0	1	0	0	657	1
le160	Local	25	0	1	1	1	0	669	1
le160	Local	26	0	1	0	0	1	610	1
le160	Local	27	0	1	1	1	1	481	1
le160	Local	28	0	1	1	1	0	530	1
le160	Local	29	0	1	1	0	0	695	1
le160	Local	30	0	1	0	0	0	439	1
le160	Local	31	0	0	0	0	1	635	1
le160	Local	32	0	0	0	1	0	150	0
le160	Global	1	1	1	1	0	0	757	1
le160	Global	2	1	0	0	0	1	150	0
le160	Global	3	1	0	0	1	1	514	1
le160	Global	4	1	0	0	0	1	366	1
le160	Global	5	1	0	0	1	1	385	1
le160	Global	6	1	1	1	1	0	710	1
le160	Global	7	1	1	0	0	1	624	1
le160	Global	8	1	1	1	0	1	150	0
le160	Global	9	1	0	1	1	1	676	1
le160	Global	10	1	0	0	0	0	433	1
le160	Global	11	1	1	1	0	1	150	0
le160	Global	12	1	0	1	1	1	781	1
le160	Global	13	1	1	0	0	1	384	1
le160	Global	14	1	0	1	0	0	644	1
le160	Global	15	1	0	0	1	0	446	1
le160	Global	16	1	0	1	1	0	354	1
le160	Global	17	1	0	0	1	0	387	1
le160	Global	18	1	1	1	0	0	560	1
le160	Global	19	1	1	0	1	1	328	1
le160	Global	20	1	0	0	1	0	358	1
le160	Global	21	1	0	0	0	0	416	1
le160	Global	22	1	1	1	0	0	456	1
le160	Global	23	1	1	0	1	1	549	1
le160	Global	24	1	1	0	0	0	443	1
le160	Global	25	1	0	1	1	1	511	1
le160	Global	26	1	0	1	1	0	586	1
le160	Global	27	1	0	1	1	1	534	1
le160	Global	28	1	1	1	1	0	475	1
le160	Global	29	1	1	0	0	1	457	1
le160	Global	30	1	1	1	0	0	518	1
le160	Global	31	1	1	1	0	1	554	1
le160	Global	32	1	0	0	1	1	410	1
le160	Local	1	1	0	0	1	1	521	1
le160	Local	2	1	1	1	0	1	341	1
le160	Local	3	1	1	1	1	0	476	1
