Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	0.88	0.94	0.91	0.94	0.94	0.94	0.92
1	0.94	0.88	0.91	0.88	1.00	0.94	0.92
Grand Total	0.91	0.91	0.91	0.91	0.97	0.94	0.92
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.88	0.94	0.94	0.88	0.94	0.88	0.94	1.00
423.7	492.5	433.3	579.7	470.9	564.1	427.9	440
							
							
							
rt	SDev	CCor	UCor				
423.7	72.59	13	14	0	0	0	
492.5	96.33	15	15	0	0	1	
433.3	78.43	15	15	0	1	0	
579.7	121.3	14	14	0	1	1	
470.9	97.56	15	15	1	0	0	
564.1	101.1	14	14	1	0	1	
427.9	98.32	15	15	1	1	0	
440	85.18	16	16	1	1	1	
