Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Grand Total	1.00	1.00	1.00	1.00	1.00	1.00	1.00
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
557.60	633.80	740.70	807.50	638.40	648.60	703.60	766.30
							
							
							
rt	SDev	CCor	UCor				
557.6	92.54	16	16	0	0	0	
633.8	112	16	16	0	0	1	
740.7	64.95	16	16	0	1	0	
807.5	82.71	15	16	0	1	1	
638.4	103.1	16	16	1	0	0	
648.6	131.7	16	16	1	0	1	
703.6	149.1	16	16	1	1	0	
766.3	148.3	16	16	1	1	1	
