Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	0.94	0.94	0.94	0.94	0.94	0.94	0.94
Grand Total	0.97	0.97	0.97	0.97	0.97	0.97	0.97
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.94	1.00	0.94	1.00	0.94	1.00	0.94
439.9	564.2	477.7	668.6	513.2	605.5	545.3	549.4
							
							
							
rt	SDev	CCor	UCor				
439.9	73.99	16	16	0	0	0	
564.2	191	15	15	0	0	1	
477.7	76.03	15	16	0	1	0	
668.6	208.7	15	15	0	1	1	
513.2	77.3	15	16	1	0	0	
605.5	83.16	15	15	1	0	1	
545.3	209.8	16	16	1	1	0	
549.4	114.5	14	15	1	1	1	
