Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	1.00	1.00	0.94	1.00	0.97	0.98
Grand Total	1.00	1.00	1.00	0.97	1.00	0.98	0.99
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00
429.00	465.30	471.10	522.60	656.00	714.10	503.50	547.20
							
							
rt	SDev	CCor	UCor				
429.00	28.51	14	16	0	0	0	
465.30	44.87	16	16	0	0	1	
471.10	50.62	16	16	0	1	0	
522.60	89.87	15	16	0	1	1	
656.00	125.6	16	16	1	0	0	
714.10	88.54	15	15	1	0	1	
503.50	76.51	16	16	1	1	0	
547.20	115.6	16	16	1	1	1	
